Business,Service,Original Service Name,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,
Tiptoes Nail Spa,Basic Manicure,Basic Manicure,"This classic treatment includes nail/cuticle care, and warm lotion massage",Base Manicure,Manicure,Nails,,22,
Tootsie Toes,Basic Manicure,Basic Manicure,,Basic Manicure,Manicure,Nails,,16,
Top Coat,Basic Manicure,Basic Manicure,"Nail shaping, cuticle care, massage and buff/polish Manicure + exfoliation",Basic Manicure,Manicure,Nails,,17,
Vanity Beauty Lounge,Basic Manicure,Vanity Lavender Manicure,Far from a basic service � we�ll offer to clean your ring and place a heated lavender neck wrap on your shoulders to increase relaxation while you experience our signature nail treatment.,Base Manicure,Manicure,Nails,,26,
White Daisy Nail Spa,Basic Manicure,Basic Manicure,,Basic Manicure,Manicure,Nails,,15,
Zaza Nail and Wine Lounge,Basic Manicure,Basic Manicure,"Cut, file, cuticle grooming, lotion massage, and polish. Simply trims  you to perfection.",Basic Manicure,Manicure,Nails,,29,
7 Nail Spa,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,23,
Boniva Nail Spa,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,27,
Boniva Nail Spa,Basic Pedicure,Pedicure,,,,Nails,,27,
Cascade Nail & Spa,Basic Pedicure,Basic Pedicure ,Warm Lotion Pedicure,Basic Pedicure,Pedicure,Nails,,25,
Castro Nail Salon,Basic Pedicure,Basic Pedicure ,"A personalized foot care treatment, including nail shaping, cuticle care, moisturizing massage, hot towel service and polish.",Basic Pedicure,Pedicure,Nails,,30,
City Beauty Salon,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,23,
City Famous Nail Spa,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,25,
Cocoon Urban Day Spa,Basic Pedicure,Basic Pedicure ,"Start with a soothing, awakening red-current and white tea foot-bath, followed by a thorough exfoliation, shaping, cuticle care and a moisturizing foot rub.",Basic Pedicure,Pedicure,Nails,,40,
Diane Nails Care,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Doan's Nail,Basic Pedicure,Fantasy Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Elegant Nails Salon,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Fingertips Nail Salon,Basic Pedicure,Warm Lotion Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Forever Nails by Kim,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,20,
Forever Nails by Kim,Basic Pedicure,Student - Pedicure (10% off),,Base Pedicure,Pedicure,Nails,18,20,
Four Seasons Nail & Spa,Basic Pedicure,Regular Spa Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Gelous Nails,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Gentle Nails Salon,Basic Pedicure,Classic Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Green Spa & Nail,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Haight Street Nails,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,25,
Hand Job Spa,Basic Pedicure,Basic Pedicure ,"Experience a soothing pedicure at the hands of an expert technician.  We'll cut and file your nails, clean and trim your cuticles, and paint your  toes so you can paint the town.",Basic Pedicure,Pedicure,Nails,,35,
It's M3 Time Nail Salon,Basic Pedicure,Classic Pedicure,"Foot soak, cut, nail shaping, cuticle grooming, exfoliating scrub, pumice foot scrub, warm lotion foot massage, hot stone massage, color polish, paraffin wax",Base Pedicure,Pedicure,Nails,,25,
JoJe Nail Spa,Basic Pedicure,Spa Pedi,"Warm special foot bath, Shaping & cuticle care, Sugar scrub, Callus removal, Foot moisturizing with warm lotion, Leg massage, Paraffin treatment",Base Pedicure,Pedicure,Nails,,20,
Joli Bijou Salon,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,25,
KT Nails,Basic Pedicure,Spa Pedicure,,Base Pedicure,Pedicure,Nails,,25,
La Petite Nail Shop,Basic Pedicure,Basic Manicure,"Not so Basic Mani - This can't-go-wrong pedicure includes a softening soak, clipping, trimming, buffing & very articulate painting (no massage)",Base Pedicure,Pedicure,Nails,,40,
Lotus Nail Salon,Basic Pedicure,Basic Pedicure ,"First, we provide a warm bath with fresh mint leaves and lemon slices for your feet. As you sit back and relax, we will remove polish, cut and file nails, groom cuticle, following with sugar scrub, mango lotion massage, and hot stone to give your feet the pampering it deserves before we put on your favorite color of choice.",Basic Pedicure,Pedicure,Nails,,30,
Lucky Nails,Basic Pedicure,Pedicure,,,,Nails,,28,
LUX SF,Basic Pedicure,LUX Pedicure,"This not-so-basic pedicure includes nail shaping, cuticle care, an aromatherapy scrub, callus buffing a relaxing and moisturizing massage with warmed lotion and polish",Base Pedicure,Pedicure,Nails,,40,
Mac Nail Spa,Basic Pedicure,Basic Pedicure ,"Lemon sugar scrub, warm lotion, hot stone, and polish of choice
",Basic Pedicure,Pedicure,Nails,,28,
Mani Pedi Spa,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,28,
Mani-Pedi Beauty Spa,Basic Pedicure,Pedicure ,Includes hot stone massage,Base Pedicure,Pedicure,Nails,,25,
Mimosa Nails,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,25,
Mizu Spa,Basic Pedicure,Classic Pedicure,Includes a diamond buff and soak. Followed by a soothing massage. Service is finished with a natural buff or polish to perfection. ,Base Pedicure,Pedicure,Nails,,38,
Nail Arts,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,25,
Nail Today,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Nail Today,Basic Pedicure,Spa Massage Chair Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Nailtastic Salon,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,20,
Nali Nails & Spa,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Nels Beauty Salon,Basic Pedicure,Classic Pedi,,Base Pedicure,Pedicure,Nails,,28,
New Zen Spa,Basic Pedicure,Basic Pedicure ,"Lemon grass & eucalyptus foot soak, cut, file, cuticle care, exfoliate, warm lotion massage polish/buff ",Basic Pedicure,Pedicure,Nails,,29,
Oliviana Nail Spa,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,30,
Pampered Hands Salon,Basic Pedicure,Classic Pedicure,Our basic pedicure is accompanied by a rose francais scented relaxing soak followed by perfect trimming and a smoothing and nourishing hot cream massage to encourage circulation and nourishment of your skin.,Base Pedicure,Pedicure,Nails,,25,
Pearly Nails,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,24,
Polish Nail & Beauty Spa,Basic Pedicure,Classic Pedi,,Base Pedicure,Pedicure,Nails,,30,
Polished Nest,Basic Pedicure,Classic Pedicure,"Early Bird Discount - Need to make appointment and mention ""Early bird"" for it to apply",Base Pedicure,Pedicure,Nails,26,30,
Polished Nest,Basic Pedicure,Express Pedi,,Base Pedicure,Pedicure,Nails,,26,
Polished Nest,Basic Pedicure,Classic Pedicure,,Base Pedicure,Pedicure,Nails,,30,
Q Spa,Basic Pedicure,Basic Pedi,"Trim, file, cuticle care, warm lotion massage, warm towel steam, buff, and polish",Base Pedicure,Pedicure,Nails,,30,
Queen Bee Nail Salon,Basic Pedicure,Smoothing Pedicure,"Starting with a Mineral Herbal Bath soak then followed b a gentle massage and exfoliation with natural Body Liquid Lufa. After nails and cuticles are carefully trimmed and shaped, heels are treated with all Spice Berry Sole Solution/ Finish with a traditional lower leg massage using Body Smoother lotion leaving your skin feeling silky",Base Pedicure,Pedicure,Nails,,30,
Relax Nails,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,22,
Relax Nails,Basic Pedicure,BASIC PEDICURE,,,,Nails,,25,
Richmond Nail Salon,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,20,
Rosy Heels,Basic Pedicure,Essential Pedicure,"Sooth your tired, aching feet with a refreshing sea salt foot bath followed by gentle buffing, filing, and cuticle shaping finished off with a warm lotion massage.",Base Pedicure,Pedicure,Nails,,25,
Royal Thai Spa,Basic Pedicure,Pedicure ,,,,Nails,,25,
SF Nail Bar,Basic Pedicure,Deluxe Pedicure,"Cut, file, cuticle grooming, skin exfoliate with sugar scrubs (lavender/peppermint)  massage with lavender massage oil, philosophy body lotion will be apply to moisturize your skin, polish then cuticle treated with jojoba oil.",Base Pedicure,Pedicure,Nails,,29,
SF Nail Spa,Basic Pedicure,Express Pedi,"Soak your feet in fresh herbs and essential oils ot release stress and rejuvenate. Complete nail care - cut, shape, trim cuticles. Exfoliate heels. Hot towel wrap and finished with choice of polish.",Base Pedicure,Pedicure,Nails,,25,
SF Nail Spa,Basic Pedicure,Regular Pedi,Soak your feet in fresh herbs and essential oils to calm and soothe your mind. Follow by complete nail care. Exfoliate heels. Follow with 5 min warm lotion leg massage. Hot towel wrap and choice of polish,Base Pedicure,Pedicure,Nails,,30,
Silk Day Spa,Basic Pedicure,Warm Lotion Pedicure,,Base Pedicure,Pedicure,Nails,,35,
Silk Day Spa,Basic Pedicure,Express Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Simply Unique Nails,Basic Pedicure,Basic Pedicure,"Relax your feet in a tender bath blend with essential oil and Hawaiian sea salt. Sit back and relax with our state-of-the-art whirlpool spa and multi-function deluxe luxury massage chairs. Trimming, shaping toenails, pushing and nipping cuticles included. We gently apply a gel scrub to remove dead skin then scrub the heals with callus eliminator. We provide a gentle massage with warm lotion and end either with a shiny buff or a nail polish of your choice. ",Base Pedicure,Pedicure,Nails,,25,
Soubella Nails Spa,Basic Pedicure,Soubella Pedi,Hot stone massage with shea butter lotion,Base Pedicure,Pedicure,Nails,,30,
Spectrum Nails Spa,Basic Pedicure,Basic Pedicure,,Base Pedicure,Pedicure,Nails,,27,
Sugarcoat,Basic Pedicure,Regular pedicure,,Base Pedicure,Pedicure,Nails,,28,
Sugarcoat,Basic Pedicure,Spa pedicure,,Base Pedicure,Pedicure,Nails,,33,
Sunset Nails,Basic Pedicure,Classic Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Super Nails & Spa,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,25,
Sutter Nails,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,25+,
Sweeties Salon,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,30,
Sydney Nail Spa,Basic Pedicure,Classic Pedicure,,Base Pedicure,Pedicure,Nails,,30,
Ten Zen Nail Spa,Basic Pedicure,Basic Pedicure ,"Includes nail shaping, cuticle care, callus softening, pedicure scrub, mini massage, hot towel wrap and natural buff or polish of your choice.  ",Basic Pedicure,Pedicure,Nails,,35,
The Nail Room,Basic Pedicure,Reg. Pedicure,,Base Pedicure,Pedicure,Nails,,27,
The Upper Hand,Basic Pedicure,Classic Pedicure,"Aromatherapy Neck Wrap, Rose Petal Wash with Organic Essential Oil, Natural Sea Salt Scrub. Hot Cream & Oil Massage, Hot Towel Wrap, and Toxin-Free Polish",Base Pedicure,Pedicure,Nails,,35,
Thi Spa & Nails,Basic Pedicure,Classic Pedicure,"Cut, file, cuticle grooming, lotion massage, and polish",Base Pedicure,Pedicure,Nails,,32,
Thi Spa & Nails,Basic Pedicure,Pedicure,,Base Pedicure,Pedicure,Nails,,55,
Tiptoes Nail Spa,Basic Pedicure,Basic Pedicure ,"This classic treatment includes nail/cuticle care, foot soak and warm lotion massage",Base Pedicure,Pedicure,Nails,,32,
Tootsie Toes,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,26,
Top Coat,Basic Pedicure,Basic Pedicure ,"Nail shaping, cuticle care, heel $27 buffing, massage and polish/buff",Basic Pedicure,Pedicure,Nails,,27,
Vanity Beauty Lounge,Basic Pedicure,Vanity Lavender Pedicure,Far from a basic service � we�ll offer to clean your ring and place a heated lavender neck wrap on your shoulders to increase relaxation while you experience our signature nail treatment.,Base Pedicure,Pedicure,Nails,,36,
White Daisy Nail Spa,Basic Pedicure,Basic Pedicure ,,Basic Pedicure,Pedicure,Nails,,30,
Cocoon Urban Day Spa,Beauty mark semi-permanent tattoo,Beauty Mark,,Highlight,Semi-permanent makeup,Spa,,50,
Four Seasons Nail & Spa,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,17+,
Gelous Nails,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,30+,
Lucky Nails,Bikini Line Waxing,Bikinin line Waxing,,,,Hair Removal,,25,
Mac Nail Spa,Bikini Line Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,25+,
May's Beauty Skin Care,Bikini Line Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,28,
Merry Manicures,Bikini Line Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,20,
Nail Today,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,20+,
Nali Nails & Spa,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25+,
Relax Nails,Bikini Line Waxing,Bikini Line Waxing,,,,Hair Removal,,25+,
Richmond Nail Salon,Bikini Line Waxing,Bikini Line Waxing,,,,Hair Removal,,25+,
Rosy Heels,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25+,
SF Nail Spa,Bikini Line Waxing,Waxing - Thigh/Bikini Line,,Bikini,Waxing,Hair Removal,,45+,
Super Nails & Spa,Bikini Line Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25,
Sweeties Salon,Bikini Line Waxing,Bikini Line Waxing,,Bikini Line Waxing,Waxing,Hair Removal,,25+,
Sydney Nail Spa,Bikini Line Waxing,Waxing - Bikini line,,Bikini,Waxing,Hair Removal,,25+,
Bare,Bikini Sugaring,Bikini Sugaring,,Bikini Sugaring,Waxing ,Hair Removal,,45,
Cocoon Urban Day Spa,Bikini Sugaring,Bikini Sugaring,,Bikini Sugaring,Sugaring,Hair Removal,,50,
Cocoon Urban Day Spa,Bikini Sugaring,Extended Bikini Sugaring,,Bikini Sugaring,Sugaring,Hair Removal,,60,
EZ Brow & Beauty,Bikini Sugaring,Bikini Sugaring,,Bikini Sugaring,Sugaring,Hair Removal,,35+,
EZ Brow & Beauty,Bikini Sugaring,Bikini Sugaring,,,,Hair Removal,,35+,
JoJe Nail Spa,Bikini Sugaring,Sugaring - Bikini,,Bikini,Sugaring,Hair Removal,,30,
7 Nail Spa,Bikini Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,20,
B Brow Lounge,Bikini Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,30,
Bare,Bikini Waxing,Bikini Waxing,This discount is in effect if you return to Bare for the same service within six weeks.,Bikini Waxing,Waxing,Hair Removal,29,32,
Bare,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,32,
Bebe Skin Care & Threading,Bikini Waxing,Bikini Line Waxing,,Bikini Waxing,Waxing,Hair Removal,,20,
Boniva Nail Spa,Bikini Waxing,Bikini Waxing,,Bikini,Waxing ,Hair Removal,,20+,
Cascade Nail & Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25+,
Castro Nail Salon,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25+,
City Beauty Salon,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35+,
City Famous Nail Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
Cocoon Urban Day Spa,Bikini Waxing,Bare Cocoon Basic,,,,Hair Removal,,35,
Code Salon,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,45+,
Diane Nails Care,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,
Doan's Nail,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20,
Elegant Nails Salon,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,
Eyebrow Queen Salon,Bikini Waxing,Bikini Wax  ,,,,Hair Removal,,25,
Eyebrow Queen Salon,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,25,
Eyebrows To Die For,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,30+,
EZ Brow & Beauty,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,30,
EZ Brow & Beauty,Bikini Waxing,Extended Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,45,
EZ Brow & Beauty,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,30,
EZ Threads,Bikini Waxing,Bikini Waxing,"A basic bikini line - cleaned up just enough for the average bathing suit. This service is offered to women only.Combination of European hard wax and Soft wax will be used depending on Hair length ,thickness and Skin condition.",Bikini Waxing,Waxing,Hair Removal,,30,
EZ Threads,Bikini Waxing,Extended Bikini Waxing,"For those who want a little more than the basic bikini but not ready for a  brazilian . Buttocks not included. This service is offered to women only.Combination of European hard wax and Soft wax will be used depending on Hair length ,thickness and Skin condition.",Bikini Waxing,Waxing,Hair Removal,,40,
Fingertips Nail Salon,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,15+,
Green Spa & Nail,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,
Haight Street Nails,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
Hand Job Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35,
Hand Job Spa,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,35,
John Francis Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,40,
JoJe Nail Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20,
JoJe Nail Spa,Bikini Waxing,Basic bikini Waxing,,,,Hair Removal,,20,
KT Nails,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20,
La Petite Nail Shop,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35,
Lavande Nail Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,29+,
Luxury Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,20,
Mani Pedi Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
Mani-Pedi Beauty Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20,
May's Beauty Skin Care,Bikini Waxing,Bikini Waxing,Waxing - Half Bikini (For Lady only),Bikini Waxing,Waxing,Hair Removal,,38,
Mimosa Nails,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
Nail Arts,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,15,
Oliviana Nail Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,35+,
Pampered Hands Salon,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25,
Patina Skin & Wax,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35,
Patina Skin & Wax,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,35,
Pearly Nails,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,18,
Polish Nail & Beauty Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25,
Polished Nest,Bikini Waxing,Waxing - Classic Bikini,"Early Bird Discount - Need to make appointment and mention ""Early bird"" for it to apply",Bikini,Waxing,Hair Removal,28,30,
Polished Nest,Bikini Waxing,Waxing - Classic Bikini,,Bikini,Waxing,Hair Removal,,30,
Polished Nest,Bikini Waxing,Waxing - Extended Bikini,"Early Bird Discount - Need to make appointment and mention ""Early bird"" for it to apply",Bikini,Waxing,Hair Removal,32,40+,
Polished Nest,Bikini Waxing,Waxing - Extended Bikini,,Bikini,Waxing,Hair Removal,,40+,
Precision Hair Design,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,28+,
Q Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,30,
Queen Bee Nail Salon,Bikini Waxing,Bikini-Plain Waxing,,,,Hair Removal,,22,
Queen Bee Nail Salon,Bikini Waxing,Bikini-Deluxe Waxing,,,,Hair Removal,,32,
Relax Nails,Bikini Waxing,Waxing - Plain Bikini,,Bikini,Waxing,Hair Removal,,20+,
Richmond Nail Salon,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,
Richmond Serenity Spa,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,35,
Sensi Luxury Nails & Spa,Bikini Waxing,Waxing - Bikini Plain,,Bikini,Waxing,Hair Removal,,20,
SF Nail Bar,Bikini Waxing,Waxing - Basic Bikini,,Bikini,Waxing,Hair Removal,,30,
SF Nail Spa,Bikini Waxing,Waxing - Bikini line,,Bikini,Waxing,Hair Removal,,20+,
SF Nail Spa,Bikini Waxing,Waxing - Full leg/bikini line,,Bikini,Waxing,Hair Removal,,60+,
Shear Image Salon,Bikini Waxing,Bikini Waxing,,,,Hair Removal,,20+,
Silk Day Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,60+,
Simply Unique Nails,Bikini Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25+,
Soubella Nails Spa,Bikini Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25,
Soubella Nails Spa,Bikini Waxing,Waxing - Deluxe Bikini,,bikini,Waxing,Hair Removal,,35,
Spectrum Nails Spa,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,
Sugarcoat,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,15+,
Sunset Nails,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,
Sutter Nails,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,15,
The Nail Room,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,
The Upper Hand,Bikini Waxing,Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,25,
The Upper Hand,Bikini Waxing,Waxing - Deluxe Bikini,,Bikini,Waxing,Hair Removal,,35,
Thi Spa & Nails,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,35,
Tootsie Toes,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,24,
Top Coat,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
Top Coat,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,32,
Vanity Beauty Lounge,Bikini Waxing,Waxing - Bikini,,Bikini,Waxing,Hair Removal,,35+,
Vanity Beauty Lounge,Bikini Waxing,Waxing - Extended Bikini,,Bikini,Waxing,Hair Removal,,49+,
Vierra & Friends,Bikini Waxing,Basic Bikini Waxing,,,,Hair Removal,,28,
White Daisy Nail Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,25,
White Daisy Nail Spa,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35,
Zaza Nail and Wine Lounge,Bikini Waxing,Bikini Waxing,,Bikini Waxing,Waxing,Hair Removal,,35,
Archimedes Banya,Body Bath,"Archimedes Hammam (30 ,min)",Our signature treatment performed with exfoliating spa gloves and European olive oil based soap. A therapist lathers you with olive oil soap while exfoliating your skin and pouring warm water over your body. Service Duration: 30 mins ,Body Bath,Body Service,Spa,,48,
Archimedes Banya,Body Bath,Moroccan Hammam (60 min),"Our top skin healing therapy starts with a wash using Moroccan-made Black Beldi soap and an abrasive kesse glove. Then a Rhassoul clay mask is applied to your body for detoxification, toning, and rejuvenation. While the mask is setting, your therapist uses an organic shampoo to gently rinse your hair. When the skin and hair are cleansed antioxidant-rich Argan oil is applied to the body to help it maintain a youthful, glowing appearance. It is ideal for healing blemishes caused by acne. Service duration: 1 hr ",Body Bath,Body Service,Spa,,92,
Archimedes Banya,Body Bath,Turkish Hammam (55 min),"Must purchase Basic Banya Pass to obtain service. The Turkish Hammam is performed with an organic cotton bag and nutrient rich soap used to create endless amounts of skin softening foam. After a thorough lathering of foam your therapist exfoliates old skin cells with coarse goat hair gloves. The hammam ends with a light massage of citrus infused essential oils, creating a blissfully authentic Istanbul experience. Service duration: 40 mins ",Body Bath,Body Service,Spa,,70,
Archimedes Banya,Body Massage,Mustard & Beer Hammam (55 min),"A unique service including a white mustard and beer emulsion body mask following the basic Archimedes Hammam. After the mask hardens, the therapist uses a soft sponge to cleanse the skin. Service duration: 40 mins",Body Mask,Body Service,Spa,,65,
Delightful Massage,Body Massage,Body Massage (45 min),,Body Massage,Massage,Spa,,42,
Delightful Massage,Body Massage,Body Massage (30 miin),,Body Massage,Massage,Spa,,30,
Delightful Massage,Body Massage,Body Massage (60 min),,Body Massage,Massage,Spa,,48,
Delightful Massage,Body Massage,Body Massage (90 min),,Body Massage,Massage,Spa,70,90,
Delightful Massage,Body Massage,Body Massage (70 min) ,Includes 10 in foot massage,Body Massage,Massage,Spa,,55.99,
Healing Shiatsu,Body Massage,Body Massage(30 min session),,Body Massage,Massage,Spa,,40,
Healing Shiatsu,Body Massage,Body Massage (1 hour session),,Body Massage,Massage,Spa,,55,
Healing Shiatsu,Body Massage,Body Massage(1.5 hour session),,Body Massage,Massage,Spa,,85,
Healing Shiatsu,Body Massage,Body Massage(2 hour session),,Body Massage,Massage,Spa,,110,
Healthy living Spa,Body Massage,Body Massage (30 min),,Body Massage,Massage,Spa,,35,
Healthy living Spa,Body Massage,Body Massage (60 min),,Body Massage,Massage,Spa,,60,
Mandy's Massage,Body Massage,Combination Massage (60 min),30 min Body / 30 min Feet,Body Massage,Massage,Spa,,60,
Mandy's Massage,Body Massage,Combination Massage (90 min),45 min Body / 45 min Feet,Body Massage,Massage,Spa,,80,
Siam Orchid Traditional Thai Massage,Body Massage,Four Hands Massage,,,,Spa,,170,
Archimedes Banya,Body Scrub,Organic Raw Sugar Honey Scrub (30 min),"Must purchase Basic Pass to obtain service. Now that your body has experienced the wonderful therapeutic effects of banya and is in an optional state for bodywork, your skin needs a deep cleansing. A body scrub is a perfect treatment with which to continue your journey, as it exfoliates and hydrates your skin, leaving it smooth and soft, ready to be nourished. Sugar-based scrubs are less abrasive than salt-based scrubs, and are recommended for sensitive skin. Service duration: 30 mins",Body Scrub,Body Service,Spa,,55,
Archimedes Banya,Body Scrub,Sea Salt Scrub (30 min),"Must purchase Basic Pass to obtain service. Now that your body has experienced the wonderful therapeutic effects of banya and is in an optional state for bodywork, your skin needs a deep cleansing. A body scrub is a perfect treatment with which to continue your journey, as it exfoliates and hydrates your skin, leaving it smooth and soft, ready to be nourished. Sugar-based scrubs are less abrasive than salt-based scrubs, and are recommended for sensitive skin. Service duration: 30 mins",Body Scrub,Body Service,Spa,,55,
Imperial Spa,Body Scrub,Body Scrub Only,Finishes off with an invigorating hair and body wash,,,Spa,,60,
Imperial Spa,Body Scrub,Body Scrub Only(Men�s Services),Finishes off with an invigorating body wash,,,Spa,,50,
M Spa,Body Scrub,Full Body Scrub??,,,,Spa,,130?,
